1;1;QAT;E;Eugenio
2;2;SEN;E;Eugenio
3;3;QAT;E;Eugenio
4;4;NED;G;Eugenio
5;5;NED;G;Eugenio
6;6;ECU;E;Eugenio
7;7;GBR;E;Eugenio
8;8;USA;P;Eugenio
9;9;GBR;P;Eugenio
10;10;GLS;E;Eugenio
11;11;GLS;E;Eugenio
12;12;IRI;G;Eugenio
13;13;ARG;G;Eugenio
14;14;MEX;G;Eugenio
15;15;ARG;E;Eugenio
16;16;POL;G;Eugenio
17;17;POL;P;Eugenio
18;18;KSA;E;Eugenio
19;19;FRA;P;Eugenio
20;20;DEN;E;Eugenio
21;21;FRA;P;Eugenio
22;22;TUN;G;Eugenio
23;23;TUN;P;Eugenio
24;24;AUS;E;Eugenio
25;25;ESP;P;Eugenio
26;26;GER;E;Eugenio
27;27;ESP;E;Eugenio
28;28;JPN;E;Eugenio
29;29;JPN;G;Eugenio
30;30;CRC;G;Eugenio
31;31;BEL;E;Eugenio
32;32;MAR;E;Eugenio
33;33;BEL;E;Eugenio
34;34;CRO;P;Eugenio
35;35;CRO;E;Eugenio
36;36;CAN;P;Eugenio
37;37;BRA;G;Eugenio
38;38;SUI;E;Eugenio
39;39;BRA;E;Eugenio
40;40;CMR;G;Eugenio
41;41;CMR;G;Eugenio
42;42;SRB;P;Eugenio
43;43;POR;E;Eugenio
44;44;URU;G;Eugenio
45;45;POR;G;Eugenio
46;46;KOR;G;Eugenio
47;47;KOR;E;Eugenio
48;48;GHA;E;Eugenio
